"ASIN on amazon.com","Title on amazon.com","Live price on Near Mint Games","Final price on Near Mint Games"
"B0028WF1V6","Yu-Gi-Oh! - Thunder Crash (IOC-043) - Invasion of Chaos - 1st Edition - Common","0.61","0.61"
"B00TED1I1O","Yu-Gi-Oh! - Ritual Beast Ulti-Apelio (THSF-EN028) - The Secret Forces - 1st Edition - Secret Rare","0.6","0.60"
"B009W6H9GQ","Yu-Gi-Oh! - Compulsory Escape Device (REDU-EN074) - Return of the Duelist - Unlimited Edition - Common","0.01","0.01"
"B06Y1DFTM7","Double Cipher - INOV-EN068 - Common - Unlimited Edition - Invasion: Vengeance (Unlimited Edition)","0.03","0.03"
"B00BD6VBMQ","Yu-Gi-Oh! - Blast with Chain (SDOK-EN035) - Structure Deck: Onslaught of the Fire Kings - 1st Edition - Common","0.01","0.01"
"B00B4Z5AFA","Yu-Gi-Oh! - Fire Formation - Tenken (CBLZ-EN072) - Cosmo Blazer - 1st Edition - Common","0.17","0.17"
"B06XRQC2MH","Super Soldier Synthesis - RATE-EN062 - Common - Unlimited Edition - Raging Tempest (Unlimited Edition)","0.17","0.17"
"B00S73LA7O","Yu-Gi-Oh! - Stellarknight Constellar Diamond (SECE-EN051) - Secrets of Eternity - 1st Edition - Ultimate Rare","2.41","2.41"
"B0062DVCVU","Yu-Gi-Oh! - Gemini Lancer (PTDN-EN025) - Phantom Darkness - Unlimited Edition - Common","0.01","0.01"
"B00IMOZSOO","Yu-Gi-Oh! - Number 25: Force Focus (SP14-EN026) - Star Pack 2014 - 1st Edition - Starfoil Rare","0.31","0.31"
"B0062DZ306","Yu-Gi-Oh! - Electric Lizard (MRD-048) - Metal Raiders - Unlimited Edition - Common","0.01","0.01"
"B0062DVXVO","Yu-Gi-Oh! - Nuvia the Wicked (LON-013) - Labyrinth of Nightmare - Unlimited Edition - Rare","0.01","0.01"
"B00I8YW0XU","Yu-Gi-Oh! - Cyber Network (SDCR-EN029) - Structure Deck: Cyber Dragon Revolution - 1st Edition - Common","0.15","0.15"
"B0062DRN3Q","Yu-Gi-Oh! - Goblin Attack Force (5DS2-EN008) - 5Ds Starter Deck 2009 - 1st Edition - Common","0.01","0.01"
"B002A76CTY","Yu-Gi-Oh! - Master Gig (RGBT-EN030) - Raging Battle - 1st Edition - Common","0.05","0.05"
"B00ZGQ5W9C","Yu-Gi-Oh! - Performapal Sword Fish (SP15-EN014) - Star Pack ARC-V - 1st Edition - Common","0.01","0.01"
"B002MHKR48","Yu-Gi-Oh! - Maharaghi (DB2-EN175) - Dark Beginnings 2 - Unlimited Edition - Common","0.08","0.08"
"B0062E0P1W","Yu-Gi-Oh! - Worm Barses (DT01-EN027) - Duel Terminal 1 - 1st Edition - Common","0.01","0.01"
"B00EV7VEL2","Yu-Gi-Oh! - Evilswarm Nightmare (HA07-EN023) - Hidden Arsenal 7: Knight of Stars - Unlimited Edition - Super Rare","0.5","0.50"
"B0062DVBZ2","Yu-Gi-Oh! - The Reliable Guardian (SDJ-033) - Starter Deck Joey - 1st Edition - Common","0.01","0.01"
"B0028WD4A6","Yu-Gi-Oh! - Adhesion Trap Hole (DT01-EN098) - Duel Terminal 1 - 1st Edition - Common","0.09","0.09"
"B0062DT6L8","Yu-Gi-Oh! - Cloudian Squall (GLAS-EN052) - Gladiators Assault - Unlimited Edition - Common","0.01","0.01"
"B0062DZT9G","Yu-Gi-Oh! - Koa'ki Meiru Ice (RGBT-EN025) - Raging Battle - Unlimited Edition - Rare","0.08","0.08"
"B009RVLHHS","Yu-Gi-Oh! - Call of the Atlanteans (SDRE-EN023) - Structure Deck: Realm of the Sea Emperor - 1st Edition - Super Rare","0.02","0.02"
"B0028WL0V6","Yu-Gi-Oh! - Twin Long Rods #2 (MRL-057) - Magic Ruler - 1st Edition - Common","0.03","0.03"
"B00EUKWYRS","Yu-Gi-Oh! - Cards of Consonance (SDBE-EN025) - Structure Deck: Saga of Blue-Eyes White Dragon - 1st Edition - Common","1.8","1.80"
"B00BQ19OOA","Yu-Gi-Oh! - Photon Pirate (ZTIN-EN006) - 2013 Zexal Collection Tin - 1st Edition - Super Rare","0.11","0.11"
"B0716M34B4","Majesty Maiden, the True Dracocaster - MACR-EN020 - Ultra Rare - 1st Edition - Maximum Crisis (1st Edition)","1.29","1.29"
"B0062DWOWG","Yu-Gi-Oh! - Gladiator Beast Alexander (GLAS-EN017) - Gladiators Assault - Unlimited Edition - Super Rare","1.06","1.06"
"B0028WD4AQ","Yu-Gi-Oh! - Crystal Seer (TAEV-EN031) - Tactical Evolution - 1st Edition - Ultra Rare","0.71","0.71"
"B01M1O2457","Yu-Gi-Oh! - Rider of the Storm Winds (LDK2-ENK18) - Legendary Decks II - 1st Edition - Common","0.01","0.01"
"B0062DT2OE","Yu-Gi-Oh! - XX-Saber Faultroll (ANPR-EN035) - Ancient Prophecy - Unlimited Edition - Super Rare","3.19","3.19"
"B009K8451S","Yu-Gi-Oh! - Obnoxious Celtic Guard (LCYW-EN036) - Legendary Collection 3: Yugi's World - 1st Edition - Common","0.58","0.58"
"B0062DW5O8","Yu-Gi-Oh! - Genex Ally Powercell (HA04-EN002) - Hidden Arsenal 4: Trishulas Triumph - Unlimited Edition - Secret Rare","0.01","0.01"
"B009K87CHW","Yu-Gi-Oh! - Monster Reincarnation (LCYW-EN142) - Legendary Collection 3: Yugi's World - 1st Edition - Rare","0.38","0.38"
"B0062DSNF8","Yu-Gi-Oh! - A-Team: Trap Disposal Unit (RDS-EN033) - Rise of Destiny - Unlimited Edition - Rare","0.01","0.01"
"B0028WHFE2","Yu-Gi-Oh! - Ebon Magician Curran (CRV-EN031) - Cybernetic Revolution - 1st Edition - Common","0.48","0.48"
"B01BVWP2OY","Yu-Gi-Oh! - Red-Eyes Retro Dragon (BOSH-EN095) - Breakers of Shadow - Unlimited Edition - Super Rare","0.53","0.53"
"B0124FFK12","Yu-Gi-Oh! - Parallel Twister (PGL2-EN019) - Premium Gold: Return of the Bling - Unlimited Edition - Gold Secret Rare","0.64","0.64"
"B0028WHDR6","Yu-Gi-Oh! - Acidic Downpour (PTDN-EN058) - Phantom Darkness - 1st Edition - Common","0.06","0.06"
"B008CQF1IA","Yu-Gi-Oh! - D.D. Crow (RYMP-EN095) - Ra Yellow Mega-Pack - Unlimited Edition - Super Rare","2.98","2.98"
"B01LZ2JW9C","Yu-Gi-Oh! - Time Wizard (LDK2-ENJ15) - Legendary Decks II - 1st Edition - Common","0.03","0.03"
"B00BD6VV8K","Yu-Gi-Oh! - Volcanic Counter (SDOK-EN014) - Structure Deck: Onslaught of the Fire Kings - 1st Edition - Common","0.11","0.11"
"B00EZT704Q","Pokemon - Lanturn (38) - Neo Genesis","",""
"B0062DWNOU","Yu-Gi-Oh! - Deepsea Macrotrema (PTDN-EN083) - Phantom Darkness - Unlimited Edition - Rare","0.01","0.01"
"B06Y2M9P7D","Irrigated Farmland - Amonkhet","",""
"B0062DOZE6","Yu-Gi-Oh! - Creature Swap (SDZW-EN022) - Structure Deck Zombie World - 1st Edition - Common","0.01","0.01"
"B00M9OJDZ8","Yu-Gi-Oh! - Breakthrough Skill (BP03-EN227) - Battle Pack 3: Monster League - 1st Edition - Common","0.71","0.71"
"B00DOKQ7J6","Yu-Gi-Oh! - Stronghold the Moving Fortress (BP02-EN188) - Battle Pack 2: War of the Giants - 1st Edition - Mosaic Rare","0.05","0.05"
"B00887CGWC","Yu-Gi-Oh! - Divine Wrath (BP01-EN054) - Battle Pack: Epic Dawn - 1st Edition - Starfoil Rare","0.91","0.91"
"B0754S51M9","Magician Navigation - MP17-EN110 - Secret Rare - 1st Edition - 2017 Mega-Tin Mega Pack (1st Edition)","",""
"B073G8VPGR","Ammit Eternal - Hour of Devastation","0.96","0.96"
"B0062DYG0O","Pokemon - Taillow (72) - EX Ruby and Sapphire","",""
"B0062DP5WW","Yu-Gi-Oh! - Treeborn Frog (CP04-EN020) - Champion Pack Game 4 - Promo Edition - Common","0.26","0.26"
"B01MTF1Z1L","Yu-Gi-Oh - Dark Eruption - SDPD-EN030 - Common - 1st Edition - Pendulum Domination Structure Deck","0.94","0.94"
"B01B3LF2HK","Pokemon - Frogadier (39/122) - XY BREAKPoint","0.17","0.17"
"B0062DYR44","Yu-Gi-Oh! - Mystical Space Typhoon SD8 (SD8-EN019) - Structure Deck 8: Lord of the Storm - 1st Edition - Common","0.43","0.43"
"B017AKMSSO","Yu-Gi-Oh! - Pot of The Forbidden (DOCS-EN040) - Dimension of Chaos - 1st Edition - Common","0.32","0.32"
"B00B4Z5EI8","Yu-Gi-Oh! - Dice-nied (CBLZ-EN080) - Cosmo Blazer - 1st Edition - Common","0.01","0.01"
"B0028WEZFE","Yu-Gi-Oh! - Amphibian Beast (DB1-EN211) - Dark Beginnings 1 - Unlimited Edition - Common","0.12","0.12"
"B0076NVFXU","Yu-Gi-Oh! - Red-Eyes B. Dragon (SDDC-EN005) - Structure Deck: Dragons Collide - 1st Edition - Common","0.91","0.91"
"B0062DZUQI","Yu-Gi-Oh! - Convulsion of Nature (LOD-084) - Legacy of Darkness - Unlimited Edition - Common","1.09","1.09"
"B00000ID1C","Sakura Wars 1 [VHS]","2.75","2.75"
"B00IDLUHAG","Pokemon - Skitty (104/146) - XY","0.09","0.09"
"B015EPNU0C","Yu-Gi-Oh! - Wall of Disruption (MP15-EN237) - Mega Pack 2015 - 1st Edition - Common","0.01","0.01"
"B0176PP074","Yu-Gi-Oh! - Machine Duplication (AP08-EN023) - Astral Pack: Booster Eight - Unlimited Edition - Common","4.27","4.27"
"B0062DYKHS","Pokemon - Stunky (69/90) - HS Undaunted","",""
"B06XYLRW1L","Blue-Eyes White Dragon - DUSA-EN043 - Ultra Rare - 1st Edition - Duelist Saga (1st Edition)","3.84","3.84"
"B06XR7WJCC","Superheavy Samurai Stealth Ninja - RATE-EN044 - Rare - Unlimited Edition - Raging Tempest (Unlimited Edition)","0.02","0.02"
"B00EDW6ZZU","Yu-Gi-Oh! - Mecha Phantom Beast Harrliard (JOTL-EN025) - Judgment of the Light - 1st Edition - Common","0.02","0.02"
"B003AHMBLG","Yu-Gi-Oh! - Pot of Benevolence (ABPF-EN061) - Absolute Powerforce - 1st Edition - Common","1.41","1.41"
"B071NLZHF8","Wimpod - 8/145 - Common - Sun & Moon: Guardians Rising","0.01","0.01"
"B0062DUELO","Yu-Gi-Oh! - Forced Ceasefire (FET-EN060) - Flaming Eternity - Unlimited Edition - Ultimate Rare","4.52","4.52"
"B00FQUA7JS","Yu-Gi-Oh! - Second Coin Toss (LCJW-EN268) - Legendary Collection 4: Joey's World - 1st Edition - Common","2.17","2.17"
"B0028WD3HA","Yu-Gi-Oh! - Infinity Dark (GLAS-EN027) - Gladiators Assault - 1st Edition - Common","0.07","0.07"
"B00S73LUHE","Yu-Gi-Oh! - Dragunity Divine Lance (SECE-EN062) - Secrets of Eternity - 1st Edition - Common","0.17","0.17"
"B0028WDCHG","Yu-Gi-Oh! - Conscription (CRV-EN058) - Cybernetic Revolution - 1st Edition - Common","0.02","0.02"
"B0062DVA5I","Pokemon - Prinplup (44) - Majestic Dawn","",""
"B00FQU8Y5M","Yu-Gi-Oh! - Volcanic Eruption (LCJW-EN168) - Legendary Collection 4: Joey's World - 1st Edition - Common","0.02","0.02"
"B0062DS9MA","Yu-Gi-Oh! - Bokoichi the Freightening Car (RDS-EN003) - Rise of Destiny - Unlimited Edition - Common","0.01","0.01"
"B00N5079LK","Yu-Gi-Oh! - Mythic Tree Dragon (MP14-EN134) - Mega Pack 2014 - 1st Edition - Common","0.01","0.01"
"B0028WB2NM","Yu-Gi-Oh! - Pigeonholing Books of Spell (DR1-EN148) - Dark Revelations 1 - Unlimited Edition - Common","0.01","0.01"
"B004L6HM0K","Yu-Gi-Oh! - Fabled Leviathan (HA03-EN026) - Hidden Arsenal 3 - 1st Edition - Secret Rare","0.45","0.45"
"B0128VEJN2","Pokemon - Giratina-EX (57/98) - Ancient Origins - Holo","3.8","3.80"
"B01B3LD4X4","Pokemon - Phantump (64/122) - XY BREAKPoint","0.02","0.02"
"B00BT0UIDY","Yu-Gi-Oh! - Old Vindictive Magician (BP01-EN060) - Battle Pack: Epic Dawn - Unlimited Edition - Starfoil Rare","0.28","0.28"
"B0028WB8FE","Yu-Gi-Oh! - Silent Strider (TDGS-EN036) - The Duelist Genesis - 1st Edition - Common","0.01","0.01"
"B01M04JSZ6","Magic: the Gathering - Construct Token (003) - Kaladesh","0.01","0.01"
"B0754YZ7VM","Fusion Recycling Plant - MP17-EN173 - Rare - 1st Edition - 2017 Mega-Tin Mega Pack (1st Edition)","0.02","0.02"
"B01M3X9M2F","Pokemon - Surfing Pikachu (111/108) - XY Evolutions","0.68","0.68"
"B018RHEOYK","Yu-Gi-Oh! - Igknight Templar (CORE-EN028) - Clash of Rebellions - Unlimited Edition - Ultra Rare","0.49","0.49"
"B00L9AD1AQ","Yu-Gi-Oh! - Guardian Elma (LCYW-EN129) - Legendary Collection 3: Yugi's World - Unlimited Edition - Common","0.27","0.27"
"B0062DON70","Pokemon - Numel (72) - EX Holon Phantoms","",""
"B005SAXRBQ","Pokemon - Trapinch &#x3B4; (68) - EX Dragon Frontiers","",""
"B00QKVY6R6","Yu-Gi-Oh! - Satellarknight Sirius (NECH-EN027) - The New Challengers - Unlimited Edition - Rare","0.01","0.01"
"B06ZZK7VQB","Fossil Excavation - SR04-EN032 - Common - 1st Edition - Structure Deck: Dinosmasher's Fury (1st Edition)","0.01","0.01"
"B01LWSJOQ1","Yu-Gi-Oh! - Scapegoat (LDK2-ENJ28) - Legendary Decks II - 1st Edition - Common","0.03","0.03"
"B01IUAH3L0","Pokemon - Larvesta (14/114) - XY Steam Siege","0.01","0.01"
"B00008H2FH","Dragon Ball Gt: Baby - Creation [VHS]","0.08","0.08"
"B005SESELU","Pokemon - Ducklett (26) - Emerging Powers","0.13","0.13"
"B0062DZX3S","Pokemon - Electabuzz (33/102) - HS Triumphant","",""
"B01G2EZ8IQ","Yu-Gi-Oh! - Performapal Pinch Helper (YS16-EN032) - Starter Deck: Yuya - 1st Edition - Common","0.01","0.01"
"B00OSRKL2I","Yu-Gi-Oh! - Oracle of the Sun (LC5D-EN223) - Legendary Collection 5D's Mega Pack - 1st Edition - Common","0.12","0.12"
"B00BD6V8MO","Yu-Gi-Oh! - Burden of the Mighty (SDOK-EN030) - Structure Deck: Onslaught of the Fire Kings - 1st Edition - Common","0.07","0.07"
"B01MTAZ0VX","Magic: the Gathering - Sram, Senior Edificer (023/184) - Aether Revolt","0.24","0.24"
"B00N50AZ4I","Yu-Gi-Oh! - Starship Spy Plane (MP14-EN247) - Mega Pack 2014 - 1st Edition - Common","0.01","0.01"
"B00OSRHE3C","Yu-Gi-Oh! - Meklord Astro Mekanikle (LC5D-EN161) - Legendary Collection 5D's Mega Pack - 1st Edition - Secret Rare","0.8","0.80"
"B00EZ775XE","Yu-Gi-Oh! - Destiny HERO - Dogma (LCGX-EN128) - Legendary Collection 2 - Unlimited Edition - Super Rare","0.54","0.54"
"B00887BU6A","Yu-Gi-Oh! - King Tiger Wanghu (BP01-EN129) - Battle Pack: Epic Dawn - 1st Edition - Common","0.25","0.25"
"B00OSRG91A","Yu-Gi-Oh! - Black Whirlwind (LC5D-EN138) - Legendary Collection 5D's Mega Pack - 1st Edition - Ultra Rare","7.44","7.44"
"B01EYZOOYO","Yu-Gi-Oh! - Lunalight Tiger (SHVI-EN013) - Shining Victories - 1st Edition - Common","0.02","0.02"
"B06Y1XPT5P","Crystron Quandax - INOV-EN044 - Ultra Rare - Unlimited Edition - Invasion: Vengeance (Unlimited Edition)","1.24","1.24"
"B0028WBBHO","Yu-Gi-Oh! - Electric Virus (STON-EN021) - Strike of Neos - 1st Edition - Common","0.11","0.11"
"B00EPOIWP2","Yu-Gi-Oh! - Darkflare Dragon (SDDC-EN002) - Structure Deck: Dragons Collide - Unlimited Edition - Ultra Rare","0.46","0.46"
"B0062E0BG6","Yu-Gi-Oh! - Spell of Pain (RGBT-EN090) - Raging Battle - Unlimited Edition - Rare","0.54","0.54"
"B00BD6V86A","Yu-Gi-Oh! - Flamvell Firedog (SDOK-EN009) - Structure Deck: Onslaught of the Fire Kings - 1st Edition - Common","0.07","0.07"
"B0062DW2UA","Pokemon - Hoppip (57) - EX Team Rocket Returns","",""
"B0062DZDN8","Yu-Gi-Oh! - Mask Change (GENF-EN097) - Generation Force - 1st Edition - Common","0.55","0.55"
"B00M9OGM6G","Yu-Gi-Oh! - Ghostrick Jackfrost (BP03-EN111) - Battle Pack 3: Monster League - 1st Edition - Common","0.05","0.05"
"B00BT0TNGM","Yu-Gi-Oh! - Gravitic Orb (BP01-EN192) - Battle Pack: Epic Dawn - Unlimited Edition - Common","0.06","0.06"
"B00HX0NUSY","Yu-Gi-Oh! - Evilswarm Ketos (BPW2-EN050) - Battle Pack 2: War of the Giants - Round 2 - 1st Edition - Super Rare","0.01","0.01"
"B0062E0DGE","Pokemon - Zigzagoon (85) - EX Sandstorm","",""
"B00OSRGX7U","Yu-Gi-Oh! - Earthbound Immortal Uru (LC5D-EN152) - Legendary Collection 5D's Mega Pack - 1st Edition - Super Rare","3.09","3.09"
"B01H3X6DA2","Yu-Gi-Oh! - Kozmo Dark Planet (SHVI-EN085) - Shining Victories - Unlimited Edition - Secret Rare","4.55","4.55"
"B073V9VWML","Cactus Bouncer - BLLR-EN049 - Ultra Rare - 1st Edition - Battles of Legend: Light's Revenge (1st Edition)","0.01","0.01"
"B074JHJJQM","Mudsdale - 78/147 - Rare - Sun & Moon: Burning Shadows","0.01","0.01"
"B0062E1JI0","Yu-Gi-Oh! - Minefieldriller (ANPR-EN034) - Ancient Prophecy - 1st Edition - Super Rare","0.12","0.12"
"B075NVFFVH","Shapers of Nature - Ixalan","0.01","0.01"
"B004DDYPZG","Pokemon - Pidgeotto (47/102) - HS Triumphant","",""
"B00K8CEBA0","Yu-Gi-Oh! - Battlin&#39; Boxer Big Bandage (PRIO-EN008) - Primal Origin - 1st Edition - Common","0.01","0.01"
"B0062DV06W","Yu-Gi-Oh! - Stealth Bird (IOC-068) - Invasion of Chaos - Unlimited Edition - Common","1.64","1.64"
"B00LAH3LBW","Yu-Gi-Oh! - Minerva, Lightsworn Maiden (SDLI-EN002) - Structure Deck: Realm of Light - 1st Edition - Super Rare","1.56","1.56"
"B00MJH0N86","Yu-Gi-Oh! - Superheavy Samurai Swordsman (DUEA-EN012) - Duelist Alliance - 1st Edition - Common","0.01","0.01"
"B001COTGT4","Yu-Gi-Oh! - Enemy Controller (AST-037) - Ancient Sanctuary - 1st Edition - Ultra Rare","14.3","14.30"
"B00LU4QKA4","Yu-Gi-Oh! - Ayers Rock Sunrise (DRLG-EN020) - Dragons of Legend - Unlimited Edition - Super Rare","0.34","0.34"
"B01LW0E3KR","Magic: the Gathering - Welding Sparks (140/264) - Kaladesh","0.01","0.01"
"B0062DR9OY","Yu-Gi-Oh! - Jack's Knight (EEN-EN005) - Elemental Energy - Unlimited Edition - Rare","0.17","0.17"
"B00EZ7448S","Yu-Gi-Oh! - Elemental HERO Heat (LCGX-EN037) - Legendary Collection 2 - Unlimited Edition - Common","0.51","0.51"
"B0062E0CME","Yu-Gi-Oh! - Gokibore (MDP2-EN009) - McDonalds Promo Cards Series 2 - Promo Edition - Rare","0.4","0.40"
"B00FQU9NYI","Yu-Gi-Oh! - Metalmorph (LCJW-EN075) - Legendary Collection 4: Joey's World - 1st Edition - Common","0.95","0.95"
"B01BVWOA8S","Yu-Gi-Oh! - Enlightenment Paladin (BOSH-EN047) - Breakers of Shadow - Unlimited Edition - Ultra Rare","1.85","1.85"
"B074JJKWXZ","Rhyperior - 67/147 - Holo Rare - Sun & Moon: Burning Shadows","0.17","0.17"
"B00IDLKHMY","Pokemon - Roller Skates (125/146) - XY - Reverse Holo","0.28","0.28"
"B00H7IL6RO","Yu-Gi-Oh! - Buster Blader (YSYR-EN009) - Starter Deck: Yugi Reloaded - 1st Edition - Common","0.27","0.27"
"B0028WBDUE","Yu-Gi-Oh! - Cell Explosion Virus (GLAS-EN076) - Gladiators Assault - 1st Edition - Rare","0.09","0.09"
"B0028WKOJA","Yu-Gi-Oh! - Spellbinding Circle (DB1-EN006) - Dark Beginnings 1 - Unlimited Edition - Rare","0.31","0.31"
"B009K84QVC","Yu-Gi-Oh! - Dark Hole (LCYW-EN053) - Legendary Collection 3: Yugi's World - 1st Edition - Secret Rare","2.86","2.86"
"B002VXJTVU","Pokemon - Geodude (65) - Arceus","",""
"B0028WAV98","Yu-Gi-Oh! - 4-Starred Ladybug of Doom (DB1-EN198) - Dark Beginnings 1 - Unlimited Edition - Common","0.05","0.05"
"B00LU4QCKW","Yu-Gi-Oh! - Dark Magician Girl, The Dragon Knight (DRLG-EN004) - Dragons of Legend - Unlimited Edition - Secret Rare","20.09","20.09"
"B0040WHUTS","Yu-Gi-Oh! - Wattbetta (DREV-EN024) - Duelist Revolution - 1st Edition - Common","0.02","0.02"
"B00J7YF5LO","Yu-Gi-Oh! - Forbidden Dress (PGLD-EN049) - Premium Gold - 1st Edition - Gold Rare","0.53","0.53"
"B002B33JES","Yu-Gi-Oh! - Destiny Hero - Diamond Dude (DP05-EN003) - Duelist Pack 5 Aster Phoenix - 1st Edition - Common","0.01","0.01"
"B00M9OF7AI","Yu-Gi-Oh! - Koa&#39;ki Meiru Drago (BP03-EN057) - Battle Pack 3: Monster League - 1st Edition - Rare","0.06","0.06"
"B0062DVDC8","Yu-Gi-Oh! - Karakuri Ninja mdl 919 ""Kuick"" (STOR-EN028) - Storm of Ragnarok - Unlimited Edition - Common","0.01","0.01"
"B002A7FB2I","Yu-Gi-Oh! - Berserking (RGBT-EN089) - Raging Battle - 1st Edition - Rare","0.01","0.01"
"B01B3LFA0O","Pokemon - Max Potion (103/122) - XY BREAKPoint - Reverse Holo","0.26","0.26"
"B01M1N7OFY","Yu-Gi-Oh! - The Winged Dragon of Ra (LDK2-ENS03) - Legendary Decks II - 1st Edition - Ultra Rare","4.26","4.26"
"B0062DUV3A","Yu-Gi-Oh! - Interplanetary Invader 'A' (LODT-EN034) - Light of Destruction - Unlimited Edition - Common","0.01","0.01"
"B0062DV6XY","Yu-Gi-Oh! - Spyder Spider (SOVR-EN018) - Stardust Overdrive - Unlimited Edition - Common","0.02","0.02"
"B00J7YF596","Yu-Gi-Oh! - Forbidden Lance (PGLD-EN048) - Premium Gold - 1st Edition - Gold Rare","1.29","1.29"
"B01BZE9OWY","Pokemon - Pikachu (RC29) - Generations - Holo","3.68","3.68"
"B00EZ77YEE","Yu-Gi-Oh! - Crystal Beast Topaz Tiger (LCGX-EN158) - Legendary Collection 2 - Unlimited Edition - Common","2.21","2.21"
"B0062DT7OO","Yu-Gi-Oh! - Scapegoat - Silver (DL09-EN015) - Duelist League 2010 Prize Cards - DL09 - Unlimited Edition - Rare","2.99","2.99"
"B07552GX4S","Crystron Impact - MP17-EN161 - Common - 1st Edition - 2017 Mega-Tin Mega Pack (1st Edition)","0.02","0.02"
"B0028WHFDI","Yu-Gi-Oh! - Nettles (CSOC-EN024) - Crossroads of Chaos - 1st Edition - Common","0.05","0.05"
"B0062DZSE2","Yu-Gi-Oh! - Flamvell Grunika (HA02-EN015) - Hidden Arsenal 2 - Unlimited Edition - Super Rare","0.46","0.46"
"B00EUKWUVS","Yu-Gi-Oh! - Burst Stream of Destruction (SDBE-EN021) - Structure Deck: Saga of Blue-Eyes White Dragon - 1st Edition - Common","0.2","0.20"
"B00K6LHKR4","Pokemon - Pineco (4) - XY Flashfire - Reverse Holo","0.69","0.69"
"B075QMG35G","Lightning-Rig Crew - Ixalan","0.03","0.03"
"B0062E073S","Yu-Gi-Oh! - Genex Blastfan (HA02-EN043) - Hidden Arsenal 2 - Unlimited Edition - Super Rare","0.01","0.01"
"B01EU44QGU","Pokemon - Mega Catcher (104/124) - XY Fates Collide","0.01","0.01"
"B018RHFCL4","Yu-Gi-Oh! - Rank-Up-Magic Raptor&#39;s Force (CORE-EN057) - Clash of Rebellions - Unlimited Edition - Common","0.01","0.01"
"B01B3LF5NQ","Pokemon - Greninja (40/122) - XY BREAKPoint - Reverse Holo","1.85","1.85"
"B007V52JIS","Yu-Gi-Oh! - Maestroke the Symphony Djinn (YS12-EN043) - Starter Deck: XYZ Symphony - 1st Edition - Super Rare","0.06","0.06"
"B0062DX4WU","Yu-Gi-Oh! - Horn of the Unicorn (MRL-054) - Magic Ruler - Unlimited Edition - Rare","0.58","0.58"
"B01M65UXCN","Yu-Gi-Oh! - Mirror Force (SDMY-EN037) - Structure Deck: Yugi Muto - 1st Edition - Common","0.41","0.41"
"B002B33DO4","Yu-Gi-Oh! - Beta the Magnet Warrior (DOR-002) - Duelists of the Roses PS2 Promo - Promo Edition - Secret Rare","5.44","5.44"
"B0028WAX1E","Yu-Gi-Oh! - Red-Moon Baby (PSV-090) - Pharaohs Servant - 1st Edition - Rare","0.03","0.03"
"B01M4QKMVZ","Pokemon - Metal Energy (98/108) - XY Evolutions - Reverse Holo","0.51","0.51"
"B01B3LF9VO","Pokemon - Electivire (43/122) - XY BREAKPoint","0.01","0.01"
"B06Y1X5YWJ","The Phantom Knights' Rank-Up-Magic Launch - INOV-EN054 - Super Rare - Unlimited Edition - Invasion: Vengeance (Unlimited Edition)","0.27","0.27"
"B01BVWOWZY","Yu-Gi-Oh! - Kozmo Dark Eclipser (BOSH-EN085) - Breakers of Shadow - Unlimited Edition - Secret Rare","10.8","10.80"
"B00M9OJC3Q","Yu-Gi-Oh! - Dimension Gate (BP03-EN226) - Battle Pack 3: Monster League - 1st Edition - Common","0.01","0.01"
"B0028WD7G2","Yu-Gi-Oh! - Dark Zebra (MRL-084) - Magic Ruler - 1st Edition - Common","0.01","0.01"
"B01IRSWBQW","Yu-Gi-Oh! - Spiritual Swords of Revealing Light (MVP1-EN031) - The Dark Side of Dimensions Movie Pack - 1st Edition - Ultra Rare","0.1","0.10"
"B002B33MRW","Yu-Gi-Oh! - Sinister Serpent (SDD-002) - Stairway to the Destined Duel GBA Promo - Promo Edition - Secret Rare","1.78","1.78"
"B0062DQ1TS","Yu-Gi-Oh! - Trap of Board Eraser (TP5-EN009) - Tournament Pack 5 - Promo Edition - Rare","0.01","0.01"
"B00FFJYKEI","Yu-Gi-Oh! - Cockadoodledoo (JOTL-EN083) - Judgment of the Light - Unlimited Edition - Ultra Rare","3.5","3.50"
"B00N507OL0","Yu-Gi-Oh! - Number C105: Battlin&#39; Boxer Comet Cestus (MP14-EN029) - Mega Pack 2014 - 1st Edition - Ultra Rare","0.76","0.76"
"B007F1G1YQ","Yu-Gi-Oh! - Armor Ninjitsu Art of Rust Mist (ORCS-EN069) - Order of Chaos - Unlimited Edition - Super Rare","1.35","1.35"
"B00JVWRNY4","Yu-Gi-Oh! - Mound of the Bound Creator (DRLG-EN025) - Dragons of Legend - 1st Edition - Secret Rare","4.76","4.76"
"B015YAOK24","Yu-Gi-Oh! - Dark Resonator (HSRD-EN020) - High-Speed Riders - 1st Edition - Common","0.02","0.02"
"B01H3X4ASE","Yu-Gi-Oh! - The White Stone of Ancients (SHVI-EN022) - Shining Victories - Unlimited Edition - Ultra Rare","5.91","5.91"
"B00YDFBQJW","Yu-Gi-Oh! - Dark Hole (YS15-ENL14) - Starter Deck: Dark Legion - 1st Edition - Shatterfoil","0.31","0.31"
"B0727VR78R","Clefable - 89/145 - Uncommon - Reverse Holo - Sun & Moon: Guardians Rising","0.01","0.01"
"B007F1GT66","Yu-Gi-Oh! - Numen erat Testudo (ORCS-EN038) - Order of Chaos - Unlimited Edition - Common","0.02","0.02"
